spotify_id,artist,track_name,duration,played_at
0THaoqWjE4cyOMZALznzq9,Angine de Poitrine,Yor Zarad,6:30,2026-04-09T14:44:32
19MAOZLmfFnZZVMdGraCEQ,Angine de Poitrine,Utzp,6:51,2026-04-09T11:16:28
6iDKiCR13L8Ba6bkK6cqqt,Angine de Poitrine,Sarniezz,4:36,2026-04-09T11:13:13
0gOaJ646z6OJv4lLDpjfDt,Angine de Poitrine,Mata Zyklek,6:10,2026-04-09T11:05:02
1KVkzkmFBx4A8bCma6ruKA,Angine de Poitrine,Fabienk,6:31,2026-04-09T10:58:52
3l75cLGKRMPUQyCMI0DZWC,Angine de Poitrine,Angor,6:17,2026-04-08T21:59:29
0THaoqWjE4cyOMZALznzq9,Angine de Poitrine,Yor Zarad,6:30,2026-04-08T21:53:12
19MAOZLmfFnZZVMdGraCEQ,Angine de Poitrine,Utzp,6:51,2026-04-08T21:46:42
6iDKiCR13L8Ba6bkK6cqqt,Angine de Poitrine,Sarniezz,4:36,2026-04-08T21:39:52
0gOaJ646z6OJv4lLDpjfDt,Angine de Poitrine,Mata Zyklek,6:10,2026-04-08T21:35:16
1KVkzkmFBx4A8bCma6ruKA,Angine de Poitrine,Fabienk,6:31,2026-04-08T21:29:06
5pZJpuPxjhfUc7wlAZr4At,The Olympians,California,4:11,2026-04-08T21:22:02
0du7mdWntlT18xxF2fqHg8,Maromaro,Moonlighting,4:01,2026-04-08T21:17:21
1gExMyY0hcnLisq9OJRabP,Hollow Ship,Magic Mountain,3:33,2026-04-08T21:13:19
6BdpQ5lDOUNbaER31ajumE,Yin Yin,One Inch Punch,5:08,2026-04-08T21:09:45
6RTWpwmMSdvt5g1M02L6pg,Tigran Hamasyan,Yerevan Sunrise,4:55,2026-04-08T21:04:37
3l75cLGKRMPUQyCMI0DZWC,Angine de Poitrine,Angor,6:17,2026-04-08T20:59:41
0THaoqWjE4cyOMZALznzq9,Angine de Poitrine,Yor Zarad,6:30,2026-04-08T20:53:24
19MAOZLmfFnZZVMdGraCEQ,Angine de Poitrine,Utzp,6:51,2026-04-08T20:46:54
6iDKiCR13L8Ba6bkK6cqqt,Angine de Poitrine,Sarniezz,4:36,2026-04-08T20:40:03
0gOaJ646z6OJv4lLDpjfDt,Angine de Poitrine,Mata Zyklek,6:10,2026-04-08T20:35:28
1KVkzkmFBx4A8bCma6ruKA,Angine de Poitrine,Fabienk,6:31,2026-04-08T20:29:18
3l75cLGKRMPUQyCMI0DZWC,Angine de Poitrine,Angor,6:17,2026-04-08T20:21:48
0THaoqWjE4cyOMZALznzq9,Angine de Poitrine,Yor Zarad,6:30,2026-04-08T20:15:30
19MAOZLmfFnZZVMdGraCEQ,Angine de Poitrine,Utzp,6:51,2026-04-08T20:09:02
6iDKiCR13L8Ba6bkK6cqqt,Angine de Poitrine,Sarniezz,4:36,2026-04-08T20:02:11
0gOaJ646z6OJv4lLDpjfDt,Angine de Poitrine,Mata Zyklek,6:10,2026-04-08T19:57:34
1KVkzkmFBx4A8bCma6ruKA,Angine de Poitrine,Fabienk,6:31,2026-04-08T19:51:24
0K06JwjnQVFwCFwpKGZnPt,Angine de Poitrine,Sahardnieh,4:13,2026-04-08T18:57:39
41yfGYaNFaCa9fsN0pqUWd,Angine de Poitrine,Ababa Hotel,6:26,2026-04-08T18:53:26
04Ue04iTcYkmOBuJydnveM,Angine de Poitrine,Tamebsz,7:57,2026-04-08T18:47:00
664mxd7tkS4Nc1ktjuY6C2,Angine de Poitrine,Tohogd,4:05,2026-04-08T18:39:03
55mW03rqsI9s3xUnuruF7G,Angine de Poitrine,Sherpa,5:43,2026-04-08T18:34:58
1YypZlIUcwdkUoX8b5Jx4T,Tigran Hamasyan,War Time Poem,3:47,2026-04-08T18:27:46
1zO3nRo0maJRdA8pis6fJY,Nine Inch Nails,Converge,1:38,2026-04-08T18:20:40
55mW03rqsI9s3xUnuruF7G,Angine de Poitrine,Sherpa,5:43,2026-04-08T18:19:01
3l75cLGKRMPUQyCMI0DZWC,Angine de Poitrine,Angor,6:17,2026-04-08T18:13:18
0THaoqWjE4cyOMZALznzq9,Angine de Poitrine,Yor Zarad,6:30,2026-04-08T18:07:01
19MAOZLmfFnZZVMdGraCEQ,Angine de Poitrine,Utzp,6:51,2026-04-08T18:00:31
6iDKiCR13L8Ba6bkK6cqqt,Angine de Poitrine,Sarniezz,4:36,2026-04-08T17:53:40
0gOaJ646z6OJv4lLDpjfDt,Angine de Poitrine,Mata Zyklek,6:10,2026-04-08T17:49:05
1KVkzkmFBx4A8bCma6ruKA,Angine de Poitrine,Fabienk,6:31,2026-04-08T17:42:55
7g6MGNFPkpJf4mw5b8pKJe,Resavoir,Memories of Dreams,3:05,2026-04-08T16:07:15
7ceLb4TBk4IOPirddCJ1k6,Okonski,Vista,3:40,2026-04-08T16:04:09
27jm32FyYzyi0Hf39AMm7D,Fabiano do Nascimento; Vittor Santos e Orquestra,Spring Theme,4:19,2026-04-08T16:00:28
4ez6WMIOw2O7rZ2lJw1Dd6,Mammal Hands,Forgotten Friend,4:04,2026-04-08T15:56:08
6fG5GMkeQTGGRmfgUO3LGz,Alfa Mist,Like Something,3:25,2026-04-08T15:52:04
7kIKrwoO5oJaiIV060yQUL,GoGo Penguin,Kai Dao,2:16,2026-04-08T15:48:38
2eXP1B8xzpUI3ahvjl0Wkh,Nine Inch Nails; Mark Pritchard,I Know You Can Feel It - Mark Pritchard Remix,5:33,2026-04-08T15:46:21
47H09jVxrZLalZBv0MnD0R,Flea,333,8:03,2026-04-08T15:40:47
